,источник деривации,лемма греч.,часть речи ,фонетич. и графическая вариантность для русского языка 11-17 вв.,морфологическая вариативность для русского языка 11-17 вв.,этимология,гапакс,язык-посредник,семантика,толкование Фасмера,фиксация в исторических словарях русского языка,фиксация в словарях славянских языков,переводные источники,оригинальные источники,дата создания списков,дата появления источника,цитата первой и ранней фиксации,тематическая группа,дополнительная филологическая информация,дополнительная историко-культурная информация, связывающие отсылки
агемонъ,,ἡγεμών,м.,"егемонъ, игемонъ",,,да,,"начальник, представитель императорской власти",,"СлРЯ (доп.), 9",,да,,XIII в.,XV в.,"Покоритеся всякои твари чл҃вчьстѣи Га҃ ради, цс҃рви яко владущу, агѣмономъ, яко послани суть на месть злодѣемъ, а на похвалу доброд҃емъ (ἡγεμόσι). Пч., 96. XV в.~ XIII в.","названия должностей
",,,"егемонъ, игемонъ"
агиасма,,ἁγίασμα,ж.,,,,,,,aqua benedicta,"ФГcэ, III, 25; Срз. I, 5",,,,,,,,,,
агрик,,ἀγροῖκος,м.,,,,,,,ferus,"ФГcэ, III, 26",,,,,,,,,,
адамане,,,мн.,,,,,,,,"СлРЯ (доп.), 9",,,,,,,,,,
адаманистый,,,прил.,,,,,,,,"СлРЯ (доп.), 9",,,,,,,,,,
адаманитский,,,прил.,,,,,,,,"СлРЯ, 1, 22",,,,,,,,,,
адамантовый,,,прил.,,,,,,,,"СлРЯ, 1, 22",,,,,,,,,,
адамантский,,,прил.,,,,,,,,"СлРЯ, 1, 22",,,,,,,,,,
адамантъ,,"ἀδάμας, pl.ἀδάμαντες",м.,адаманътъ,"деманитъ (ФГcэ, III, 26)",,,,,adamas,"ФГcэ, III, 26",,,,,,,,,,
адамантъ,,"ἀδάμας, pl.ἀδάμαντες",,,"дыяментъ (ФГcэ, III, 26)",,,,,,,,,,,,,,,,
адамантъ,,,,,"адаманитъ (СлРЯ, 1, 21)",,,,,,,,,,,,,,,,
адамантъ,,,,,"адамантинъ (СлРЯ, 1, 22)",,,,,,,,,,,,,,,,
адамантъ,,,,,"адамидъ (СлРЯ, 1, 22)",,,,,,,,,,,,,,,,
адамашка,,"ἀδάμας, pl.ἀδάμαντες",ж.,,,,,,,serica,"ФГcэ, III, 26",,,,,,,,,,
адамовъ,,,прил.,,,,,,,,"СлРЯ (доп.), 9",,,,,,,,,,
адамъ,,Ἀδάμ,м.,,,,,,,nomen proprium,"ФГcэ, III, 26",,,,,,,,,,
аддекавать,,δείκνω<δεικνύω<δείκνυμι,глаг.,,,,,,,,"ФГcэ, III, 54",,,,,,,,,,
аддзекать,,δείκνω<δεικνύω<δείκνυμι,глаг.,,,,,,,,"ФГcэ, III, 54",,,,,,,,,,
аддикни,,δείκνω<δεικνύω<δείκνυμι,глаг.,,,,,,,,"ФГcэ, III, 54",,,,,,,,,,
адеперить,,ἐπαίρω>παίρω,глаг.,,,,,,,,"ФГcэ, III, 68",,,,,,,,,,
адзимка,,ἄζυμος,ж.,,,,,,,panis infementatus,"ФГcэ, III, 26",,,,,,,,,,
адовный,,τοῦ ᾅδου,прил.,адовьныи,,,,,"относящийся к аду, преисподней",,"Срз. I, 7; СлРЯ, 1, 22; СДРЯ I, 74

","Стболг. I, 9: адовьнъ",да,,,ΧΙΙΙ в.,"ПрЛ ΧΙΙΙ, 7 г (СДРЯ I, 74)","религия, богословие",,,
адовский,,τοῦ ᾅδου,прил.,адовьскыи,,,,,"относящийся к аду, преисподней",,"СДРЯ I, 74","Стболг. I, 9: адовьскъ",да,,,ΧΙΙΙ в.,"СбЯр ΧΙΙΙ, 221-221 об. (СДРЯ I, 74)","религия, богословие",,,
адовъ,,τοῦ ᾅδου,прил.,,,,,,"относящийся к аду, преисподней",,"Срз. I, 7; СлРЯ, 1, 22; СДРЯ I, 74

","Стболг. I, 9",да,"Ав.Ж., 238. 1673 г. (СлРЯ, 1, 22)",,1057 г.,и врата адова не удолеють еи  (πύλαι ᾅδου),"религия, богословие",,,
адонаи,,ἀδωναΐ,нескл.,,,евр.,,,господь,,"Срз. I, 7; СлРЯ (доп.), 10",,,,,1073 г.,"Адонаи, Ги҃, погубляеши ты пр҃окъ Из҃левъ","религия, богословие",,,
адостный,,,прил.,,,,,,,,"СлРЯ (доп.), 10",,,,,,,,,,
адский,,τοῦ ᾅδου,прил.,адьскыи,,,,,"относящийся к аду, преисподней",,"СлРЯ, 1, 22; СДРЯ I, 75","Стболг. I, 10",да,"КТур ΧΙΙ сп. ΧΙV, 32 (СДРЯ I, 75)",,,Мин.Пут.,"религия, богословие",,,
адъ,,ᾅδης,м.,,,,,,"ад, преисподняя",,"Срз. I, 7; СлРЯ 1, 21; СДРЯ I, 74-75
","Стболг. I, 9-10",да,"ЛЛ 1377, 60 об. и др. (СДРЯ I, 74-75)
",,1057 г.,и сы въ адѣ възведъ же очи свои (ἐν τῷ ᾅδῃ),"религия, богословие",,,
адьскыи,,ᾅδης,прил.,,,,,,,,"Срз. I, 7",,,,,,Козм.Инд.,"религия, богословие",,,
аеринъ,,,прил.,,,,,,,,"СлРЯ, 1, 22-23",,,,,,,,,,
аерное,,τὸ...ἀέριον,прил. в знач.сущ. с.,аерьное,,,,,воздушное,,,,,,,,,,,,
аерный,,"ἀέρος, ἀέρων",прил.,"аерьнъ, аерьныи",,,,,относящийся к аеру.,,"Срз. I, 8; СлРЯ, 1, 23 
","Стболг. I, 10",да,"Леч. II, 47. XVIII в. ~ XVII в. (СлРЯ, 1, 23)",,,,,,,
аеровъ,,,прил.,,,,,,относящийся к аеру.,,"СлРЯ (доп.), 10",,,,,,,,,,
аерский,,,прил.,,,,,,относящийся к аеру.,,"СлРЯ, 1, 23",,,,,,,,,,
аеръ,,ἀήρ,м.,"аѥръ, аѥръ",,,,,1. воздух; 2. небо; 3. покров для церковных сосудов,aer,"ФГcэ, III, 25; 

мир,
устройство мира 

-8; СлРЯ, 1, 22; СДРЯ I, 75-76","Стболг. I, 10",да,"Лавр.лет., 447. 1337 г. (СлРЯ, 1, 22)",,ΧΙ в.,"Гр.Наз., 156 (Срз. I, 7)","мир, устройство мира",,,
азимъ,,ἄζυμος,м.,азумъ,,,,,,panis,"ФГcэ, III, 26",,,,,,,,,,
азматикъ,,ᾀσματικός,м.,,,,,,,cantus eccles.,"ФГcэ, III, 26",,,,,,,,,,
аиръ,,ἄκορος,м.,"иръ, аэр, аiр, яер","игиръ (ФГcэ, III, 27)",,,,,acorus calamus,"ФГcэ, III, 26; СлРЯ, 1, 25",,,,,,,,,,
акадистъ,,ἀκάθιστος,м.,акафистъ,,,,,,hymnus sine sessione canendus,"ФГcэ, III, 27; Срз. I, 12",,,,,,,,,,
акинтъ,,ὑάκινθος,м.,"иакиндъ, ꙗхонтъ, ꙗкоутъ,  ꙗкѫтъ",,,,,,hyacinthus,"ФГcэ, III, 27; Срз. I, 12",,,,,,,,,,
акиянъ,,,м.,,,,,,,,"СлРЯ (доп.), 11",,,,,,,,,,
акрида,,ἀκρίδα,ж.,окрида,,,,,,locusta,"ФГcэ, III, 27; Срз. I, 12; СлРЯ, 1, 26","Стболг. I, 15 (акридъ, м.)",,,,,"Остр.ев., 254 об.",животные,,,
акровистия,,ἀκροβυστία,ж.,"акровистиѥ, окровустiя",,,,,,praeputium,"ФГcэ, III, 27; Срз. I, 13, СлРЯ (доп.), 11",,,,,,,,,,
акрогоничестный,,,прил.,,,,,,,,"СлРЯ (доп.), 11","Стболг. I, 15-16 (акрогониеи)",,,,,,,,,
акротомъ,,ἀκρότομος,м.,акратомъ,,,,,,durissima petra,"ФГcэ, III, 27; СлРЯ (доп.), 11","Стболг. I, 16",,,,,,,,,
аксамитити,,,глаг.,,,,,,,,"СлРЯ, 1, 26",,,,,,,,,,
аксамитникъ,,,м.,оксамитникъ,,,,,,,"СлРЯ, 1, 26",,,,,,,,,,
аксамитный,,,прил.,оксамитный,,,,,,,"СлРЯ, 1, 26-27",,,,,,,,,,
аксамитъ,,ἀξάμιτον<ἐξάμιτον,м.,"оксамитъ, акшаметъ",,,,,,examitum,"ФГcэ, III, 27; СлРЯ, 1, 26",,,,,,,,,,
аксамиченье,,,ср.,оксамиченье,,,,,,,"СлРЯ, 1, 27",,,,,,,,,,
аксикастеръ,,,м.,,,,,,,,"СлРЯ (доп.), 11",,,,,,,,,,
аксиоматъ,,"ἀξίωμα, pl. ἀξιώματα",м.,,,,,,,axioma,"ФГcэ, III, 28",,,,,,,,,,
акты,,ἀκτή,мн. ч.,акта,,,,,,litus maritimum,"ФГcэ, III, 28; Срз. I, 13; СлРЯ (доп.), 11",,,,,,,,,,
акулина,,Ἀκυλῖνα,ж.,"кулина, килина",,,,,,nomen proprium,"ФГcэ, III, 28",,,,,,,,,,
ала,,,ж.,,,,,,,,"СлРЯ (доп.), 11",,,,,,,,,,
алавастровый,,,прил.,,,,,,,,"СлРЯ, 1, 27",,,,,,,,,,
алавастръ,,ἀλάβαστρον,м.,"алябастра, любастарь, оловастръ",,,,,сосуд для благовоний,alabaster,"ФГcэ, III, 28; СлРЯ, 1, 27","Стболг. I, 16",,,,1057 г.,"Приде жена, имущи алавастръ мура нардопистикии драгы… и съкрушьши алавастръ, възлия Ему на главу  (ἀλάβαστρον μύρου νάρδου πιστικῆς πολυτελοῦς... τὸ ἀλάβαστρον). (Мк. XIV, 3) Остр. ев., 229 об., 230.",,,,
алавастырный,,,прил.,,,,,,,,"СлРЯ, 1, 27",,,,,,,,,,
аладни,,ἐλάτη,м.,,,,,,,genus valmarum,"ФГcэ, III, 28; Срз. I, 15",,,,,,,,,,
аласактися,,ἀλλάσσω,глаг.,,,,,,,vestes mutare,"ФГcэ, III, 28; Срз. I, 14, СлРЯ (доп.), 11",,,,,,,,,,
алгеликовъ,,,прил.,,,,,,,,"СлРЯ, 1, 37",,,,,,,,,,
алекторъ,,ἀλέκτωρ,м.,,,,,,,gallus,"ФГcэ, III, 28; СлРЯ, 1, 28",,,,,,,,,,
аликъ,,ἄλιξ,м.,,,,,,,adeps,"ФГcэ, III, 28",,,,,,,,,,
алкионитский,,,прил.,"алкинтьскый, алкуонитский",,,,,,,"СлРЯ, 1, 29",,,,,,,,,,
алкионъ,,ἀλκυών,м.,,,,,,,alcedo,"ФГcэ, III, 29; СлРЯ, 1, 29",,,,,,,,,,
алконостовъ,,,прил.,алконосовъ,,,,,,,"СлРЯ, 1, 29",,,,,,,,,,
алконостский,,,прил.,,,,,,,,"СлРЯ, 1, 29",,,,,,,,,,
алконостъ,,ἀλκυών,м.,алконосъ,,,,,,,"ФГcэ, III, 29; Срз. I, 17; СлРЯ, 1, 29",,,,,,,,,,
алкуновый,,,прил.,,,,,,,,"СлРЯ (доп.), 12",,,,,,,,,,
аллилуия,,ἁλληλούια,межд.,"аллилугия, алѣлуиа, алълугиа, аллгуя, аллугя, аллѣя

",,евр.,,греч.,"Восклицание в христианском богослужении со сзначением ""хвалите Господа""",halleluia,"ФГcэ, III, 28; Срз. I, 16; СлРЯ, 1, 29-30; СДРЯ I, 82

","Стболг. I, 19",да,да,,ΧΙΙ-ΧΙΙΙ вв.,"УСт ΧΙΙ-ΧΙΙΙ, 33 об. (СДРЯ, I, 82)","религия, богословие",,,
аллилугиарь,,"ἀλληλουϊγιάρι(ον), ἀλληλουϊάριον, ἀλληλύϊα



",м.,"алилугиарь, аллугиарь, аллѣѧрь

",,,,,"часть литургии, состоящая в неоднократном пропевании Аллилуйя сос тихами из Псалтири перед чтением Евангелия",versus ecclesiasticus,"ФГcэ, III, 28","Стболг. I, 18-19",да,"АИ I, 162 (СлРЯ, 1, 29)",,ΧΙΙ-ΧΙΙΙ вв.,"УСт ΧΙΙ-ΧΙΙΙ, 33 об. (СДРЯ, I, 81)","религия, богословие",,,
алодопия,,,ж.,,,,,,,,"СлРЯ (доп.), 12",,,,,,,,,,
алои,,ἀλόη,м.,алой,,,,,,aloe,"ФГcэ, III, 29; Срз. I, 17; СлРЯ, 1, 30","Стболг. I, 16",,,,,,названий растений,"Стболг. I, 16: алгоуи ",,
алоинъ,,ἀλόης,прил.,,,,,,относящийся к алоэ,,"Срз. I, 18; СДРЯ I, 82

","Стболг. I, 16",да,"КТур XII, сп. XIV (СДРЯ I, 82)",,1057 г.,"несы
съмѣшение змурно и алоино (μίγμα σμύρνης καὶ ἀλόης). (Ин. XIX, 39) Остр. ев., 195.
1057 г. ",,"Стболг. I, 16: алгоуинъ",,
алсъ,,,м.,,,,,,,,"СлРЯ (доп.), 12",,,,,,,,,,
алфавитарь,,,м.,,,,,,,,"СлРЯ, 1, 32",,,,,,,,,,
алфавитъ,,ἀλφάβητος,м.,алфавита,,,,,,,"ФГcэ, III, 29; СлРЯ, 1, 32",,,,,,,,,,
алътарь,,ἀλτάρι(ο)ν,м.,"олтарь, волтарь, вiврарь ",,лат. altare ,,да,"1.жертвенник. 1.1. Стол в глубине церкви и место вокруг него.  2. Восточная часть церковного здания, отделенная иконостасом",altare,"ФГcэ, III, 29; Срз. I, 18


",,1 знач.,"1., 1.1., 2 знач.",,1057 г.,"его же убисте между црквью и алтарьмъ (τοῦ θυσιαστηρίου). (Мф.) Остр. ев., 215 об.","

богослужебные
постройки и их части

",,,
альфа,,ἄλφα,ж.,алфа,,,,,,"alpha, initium","ФГcэ, III, 29; Срз. I, 19; СлРЯ, 1, 33",,,,,,,,,,
амарилъ,,,м.,,,,,,,,"СлРЯ (доп.), 12-13",,,,,,,,,,
амбона,,ἄμβωνας,ж.,,,,,,,pulpitum,"ФГcэ, III, 29; Срз. I, 666; СлРЯ, 1, 33",,,,,,,,,,
амвонный,,,прил.,,,,,,,,"СлРЯ, 1, 35",,,,,,,,,,
амвонъ,,ἄμβων,м.,"омвонъ, омъвонъ",,,,,амвон,ambo,"ФГcэ, III, 29; Срз. I, 20","Стболг. I, 20",,,,,,,,,
аметусонъ,,"ἀμέθυσον, ἀμέθυσος",м.,амѣфустонъ,,,,,,amethystus,"ФГcэ, III, 29; Срз. I, 21; СлРЯ (доп.), 13",,,,,,,,,,
амигдаль,,ἀμυγδάλη,м.,"мигдалi, мигдалы",,,,,,amygdala,"ФГcэ, III, 29; СлРЯ, 1, 35",,,,,,,,,,
амигдальный,,,прил.,,,,,,,,"СлРЯ, 1, 35",,,,,,,,,,
амини,,,неизм.,,"аммаси (СлРЯ (доп.), 13)",,,,,,"СлРЯ (доп.), 13",,,,,,,,,,
аминъ,,"ἀμήν, ἄμην, ἄμη",нареч. ,аминъ,,евр.,,греч. от евр. ,"1.""истинно"", ""да будет так"". 2. в знач. сущ. м. ",amen,"ФГcэ, III, 30; Срз. I, 21; СлРЯ, 1, 35","Стболг. I, 21-23",1 знач.,"1 знач., 2 знач.",,1057 г.,"аминъ, аминъ гл҃ю вамъ, отъселѣ узьрите нб҃о отъвьрсто (ἀμὴν, ἀμήν). (Ин. I, 51) Остр.ев., 7.",,,,
аммаси,,,неизм.,,"амини (СлРЯ (доп.), 13)",,,,,,"СлРЯ (доп.), 13",,,,,,,,,,
аммомонъ,,,м.,,,,,,,,"СлРЯ (доп.), 13",,,,,,,,,,
амфиврахий,,,м.,,,,,,,,"СлРЯ (доп.), 13",,,,,,,,,,
амфимакръ,,,м.,,,,,,,,"СлРЯ (доп.), 13",,,,,,,,,,
амфора,,ἀμφορεύς<ἀμφιφορεύς,ж.,амфоръ,,,,,,amphora,"ФГcэ, III, 30; СлРЯ, 1, 36; СлРЯ (доп.), 13",,,,,,,,,,
амфусии,,,ж.,,,,,,,,"СлРЯ (доп.), 13",,,,,,,,,,
анагностъ,,ἀναγνώστης,м.,,,,,,,lector,"ФГcэ, III, 30; Срз. I, 21; СлРЯ, 1, 36",,,,,,,,"Стболг. I, 23: анагностьво 'чин, служебна степен на църковен четец и певец'",,
анагосание,,,ср.,,,,,,,,"СлРЯ, 1, 36",,,,,,,,,,
анагостетский,,,прил.,,,,,,,,"СлРЯ, 1, 36",,,,,,,,,,
анадема,,ἀνάθεμα,ж.,анафема,,,,,,anathema,"ФГcэ, III, 31",,,,,,,,,,
анактосъ,,ἄνακτος<.ἄναξ,м.,,,,,,,magistratus ecclesiasticus,"ФГcэ, III, 30; СлРЯ (доп.), 13",,,,,,,,,,
аналавъ,,ἀνάλαβος,м.,аналава,,,,,,succinctorium monachorum,"ФГcэ, III, 31; Срз. I, 21; СлРЯ, 1, 35","Стболг. I, 24",,,,,,,,,
аналогии,,ἀναλόγιον,м.,,"аналой (ФГcэ, III, 31)",,,,,pulpitum,"ФГcэ, III, 31; СлРЯ, 1, 35",,,,,,,,,,
аналогии,,ἀναλόγιον,м.,,"налой (ФГcэ, III, 31)",,,,,,,,,,,,,,,,
аналогически,,,нареч.,,,,,,,,"СлРЯ (доп.), 13",,,,,,,,,,
аналогия,,,ж.,,,,,,,,"СлРЯ (доп.), 13",,,,,,,,,,
аналогъ,,,м.,,,,,,,,"СлРЯ, 1, 36",,,,,,,,,,
ананья,,Ἀνανίας+Ἀνάνιος,м.,,,,,,,nomen proprium,"ФГcэ, III, 31",,,,,,,,,,
анапестъ,,,м.,,,,,,,,"СлРЯ (доп.), 13",,,,,,,,,,
анафора,,ἀναφορά,ж.,,,,,,,hostia,"ФГcэ, III, 31; Срз. I, 22; СлРЯ, 1, 36",,,,,,,,,,
ангеловецъ,,,м.,аггеловьць,,,,,,,"СлРЯ, 1, 38",,,,,,,,,,
ангеловидный,,,прил.,,,,,,,,"СлРЯ, 1, 38",,,,,,,,,,
ангеловъ,,,прил.,,,,,,,,"СлРЯ, 1, 38",,,,,,,,,,
ангелолепный,,,прил.,англелолѣпный,,,,,,,"СлРЯ, 1, 38",,,,,,,,,,
ангелообразный,,,прил.,ангелообразьнъ,,,,,,,"СлРЯ, 1, 38",,,,,,,,"Стболг. I, 26: ангельскообразьнъ",,
ангелоподобный,,,прил.,аггелоподобный,,,,,,,"СлРЯ, 1, 38",,,,,,,,,,
ангелоподражательный,,,прил.,,,,,,,,"СлРЯ (доп.), 14",,,,,,,,,,
ангелоподражательнѣ,,,нареч.,,,,,,,,"СлРЯ (доп.), 14",,,,,,,,,,
ангелъ,,ἄγγελος,м.,"аньгелъ, андилъ, анделъ, аньделъ, ангюль, вангель, аггел","анёлокъ, ангелиеъ (ФГcэ, III, 31)",,,,"1. ангел. 2. святой, в честь которого давалось имя при крещении, при пострижении в монахи.",angelus,"ФГcэ, III, 31; SJS 1, 36-37; Срз. I, 22; СДРЯ I, 86-87; Сл РЯ, 1, 37","Стболг. I, 25-26",1 знач.,"1знач., 2 знач.",,1057 г.,"и явление аньгела видѣша
(ἀγγέλων).
(Лук. XXIV, 23) Остр. ев., 5 . 1057 г. и др.;
Патерик Син., 5 об., 7 об. и др.","религия, богословие",,,
ангельский,,,нареч.,ангельскы,,,,,,,"СДРЯ I, 87","Стболг. I, 27",,,,,,,,,
ангельский,,,прил.,ангельскъ,,,,,,,"СлРЯ, 1, 38","Стболг. I, 26-27",,,,,,,,,
андронъ,,Ἄνδρων+Ἀνδρώνιος,,,,,,,,nomen proprium,"ФГcэ, III, 31",,,,,,,,,,
андруска,,ἄνδρας:ἀνήρ,ж.,вандруска,,,,,,,"ФГcэ, III, 32",,,,,,,,,,
андрусъ,,ἄνδρας:ἀνήρ,м.,"вандрусъ, яндрус",,,,,,,"ФГcэ, III, 32",,,,,,,,,,
анисный,,,прил.,,,,,,,,"СлРЯ, 1, 39",,,,,,,,,,
анисовый,,,прил.,,,,,,,,"СлРЯ, 1, 39",,,,,,,,,,
анисъ,,ἄνισον,м.,,,,,,,pinpinella anisum,"ФГcэ, III, 32; СлРЯ, 1, 39",,,,,,,,,,
анитъ,,ἄνηθον,м.,,,,,,,anethum graveolens,"ФГcэ, III, 32",,,,,,,,,,
анкира,,ἄγκυρα,ж.,"анкура, агкура",,,,,якорь,,"СлРЯ, 1, 39","Стболг. I, 28","вълающиимъся въ мори житиисцѣмь велика анъкура. Усп.сб., 39.","Алф.1, 15 об. XVII в. (СлРЯ, 1, 39)",,,"вълающиимъся въ мори житиисцѣмь велика анъкура. Усп.сб., 39.",,,,
антивакхъ,,,м.,,,,,,,,"СлРЯ (доп.), 14",,,,,,,,,,
антидорный,,,прил.,,,,,,,,"СлРЯ, 1, 40",,,,,,,,,,
антидоръ,,ἀντίδωρον,м.,антидора,,,,,,domun,"ФГcэ, III, 32; СлРЯ, 1, 40",,,,,,,,,,
антии,,Ἄντιος,м.,,,,,,,antichristus,"ФГcэ, III, 32",,,,,,,,,,
антимисъ,,ἀντιμήσι(ον)>ἀντιμήνσι(ον),м.,антиминсъ,,,,,,antimensum,"ФГcэ, III, 32; СлРЯ, 1, 40",,,,,,,,,,
антипасха,,ἀντίπασχα,ж.,,,,,,первое воскресенье после Пасхи,,"ФГcэ, III, 32; Срз. I, 24; СлРЯ, 1, 39; СлРЯ (доп.), 14","Стболг. I, 30",,,,,,,,,
антипатовъ,,,прил.,,,,,,,,"СлРЯ, 1, 40",,,,,,,,,,
антипатствовати,,,глаг.,,,,,,,,"СлРЯ, 1, 40",,,,,,,,,,
антипатъ,,ἀνθύπατος,м.,анфипатъ,,,,,"проконсул, наместник",proconsul,"ФГcэ, III, 32; Срз. I, 24; СлРЯ, 1, 39","Стболг. I, 31",,,,,,названия должностей,,Сл.виз: анфипат – титул выше патрикия; соответствует римскому консуляру,
антифонъ,,ἀντίφωνον,м.,антифона,,,,,,cantus ecclesiasticus,"ФГcэ, III, 32; СлРЯ, 1, 40","Стболг. I, 30",,,,,,,,,
антихристовъ,,,прил.,,,,,,,,"СлРЯ, 1, 40",,,,,,,,,,
антихристъ,,ἀντίχριστος,м.,,,,,,,,"ФГcэ, III, 32; Срз. I, 24; СлРЯ, 1, 40","Стболг. I, 30",,,,,,,,,
анфракъ,,ἄνθραξ,м.,"анътраксъ, анфраксъ",,,,,,gemma rubinus,"ФГcэ, III, 33; Срз. I, 25; СлРЯ, 1, 41",,,,,,,,,,
апокалипсисъ,,ἀποκάλυψις,м.,"апокалепсисъ, опоколепсисъ",,,,,,liber revelationum,"ФГcэ, III, 33; Срз. I, 25; СлРЯ, 1, 41",,,,,,,,,,
апокалипсия,,,ж.,опоколипсея,,,,,,,"СлРЯ, 1, 41",,,,,,,,,,
апостемъ,,,м.,,,,,,,,"СлРЯ (доп.), 14",,,,,,,,,,
апостолъ,,ἀπόστολος,м.,,,,,,1. апостол; 2. название церковной книги,"apostol, liber ecclesiasticus","ФГcэ, III, 33; СлРЯ, 1, 42","Стболг. I, 32-33",да,да,,1057 г.,"

Тако бо и ст҃ы апл҃ъ Паулъ глеть. (Запись) Остр. ев., 294 об. 

","религия, богословие",,,
апостола,,ἡ ἀπόστολος,ж.,,,,,,проповедница христианского учения,,"СлРЯ, 1, 42; СлРЯ (доп.), 14","Стболг. I, 32",да,,,ΧVΙ в.,,"религия, богословие","Первоначально в переводных памяниках - о равноапостольной первомученице Фекле, ученице апостола Павла",,
апостоликовъ,,,прил.,,,,,,,,"СлРЯ, 1, 42",,,,,,,,,,
апостоликъ,,,м.,,,,,,,,"СлРЯ, 1, 42",,,,,,,,,,
апостолица,,,ж.,,,,,,,,"СлРЯ, 1, 42",,,,,,,,,,
апостоловидный,,,прил.,,,,,,,,"СлРЯ, 1, 42",,,,,,,,,,
апостоловъ,,,прил.,,,,,,,,"СлРЯ, 1, 42",,,,,,,,,,
апостолодержательный,,,прил.,,,,,,,,"СлРЯ (доп.), 14",,,,,,,,,,
апостолодержательнѣ,,,нареч.,,,,,,,,"СлРЯ (доп.), 14",,,,,,,,,,
апостолоподобный,,,прил.,,,,,,,,"СлРЯ (доп.), 14",,,,,,,,,,
апостоль,,,прил.,,,,,,,,"СлРЯ, 1, 42",,,,,,,,,,
апостольникъ,,,прил.,,,,,,,,"СлРЯ, 1, 42",,,,,,,,,,
апостольский,,,прил.,"апостольскъ,-ыи",,,,,относящийся к апостолу,,"СлРЯ, 1, 42-43; СДРЯ I, 91-92","Стболг. I, 33-34",да,да,,1073 г.,"Дѣяния аполс҃ка Лукою съписаная еуаггелистъмь. Изб.Св. 1073 г., л. 252 об.","религия, богословие",,,
апостольство,,,ср.,,,,,,"апостостольское достоинство, апостольская деятельность",,"СлРЯ, 1, 43; СДРЯ I, 92","Стболг. I, 34",да,,,,,,,,
апострофъ,,ἀπόστροφος,м.,,,,,,,signum,"ФГcэ, III, 33; СлРЯ, 1, 43",,,,,,,,,,
апракосъ,,ἄπραγος,м.,"апрагосъ, апрагса, опракосъ",,,,,,liber ecclesiasticus,"ФГcэ, III, 33; Срз. I, 26; СлРЯ, 1, 43",,,,,,,,,,
апрель,,ἀπρίλι(ος),м.,"априль, апрѣль",априлии, лат. aprilis,,от лат. aprilis,апрель (название месяца),aprilis,"ФГcэ, III, 33; СДРЯ I, 92","Стболг. I, 34","да
",да,,1057 г.,"Мсц҃а априля. Остр. ев., 270 об.",,,,
априлий,,,м.,апрѣлий,, лат. aprilis,,от лат. aprilis,апрель (название месяца),,"СлРЯ, 1, 43; СлРЯ, 1, 43",,,,,,,,,,
априльский,,,прил.,апрѣльский,,,,,,,"СлРЯ, 1, 43",,,,,,,,,,
апсида,,ἀψίδα:ἀψίς,ж.,,,,,,,apsida,"ФГcэ, III, 33",,,,,,,,,,
аравона,,ἀρραβώνα<ἀρραβών,ж.,арравонъ,,,,,,arrha,"ФГcэ, III, 33; СлРЯ, 1, 44",,,,,,,,,,
арапъ,,ἄραψ,м.,,,,,,,maurus,"ФГcэ, III, 33",,,,,,,,,,
