,источник деривации,лемма польск.,часть речи, фонетическая вариативность для русского языка 11-17 вв.,морфологическая вариантивность для русского языка 11-17 вв.,этимология,гапакс,язык-посредник,семантика,толкование Фасмера,фиксация в исторических словарях русского языка,фиксация в словарях восточнославянских языков,переводные источники,оригинальные источники,дата создания списка,дата появления источника,цитата первой и ранней фиксации,тематическая группа,дополнительная филологическая информация,дополнительная историко-культурная информация,связывающие отсылки
адмиралъ,,admirał,м.,"адмералъ, амералъ",,"из разных фонетически близких источников, ср. англ. admiral, голл. admiraal, и польск. admirał 1594, нем. Admiral < ст.-франц. admiral (-d- под влиянием admirer ‛удивляться, восхищаться’) = ср.-лат. admirallus при ст.- франц. amiral ‛повелитель (флота сарацинов)’, ‛командующий флотом’, совр. франц. amiral ‛адмирал’ < араб. (?) ’amīr ar-rah.l ‘повелитель флота (транспортного, курсировавшего в средневековье между Северной Африкой и Андалузией)’. В форме амералъ - через шведский (Аникин, 1, 103).",,да,адмирал,,"СлРЯ, 1, 22",,,,1575,,"Клаушу Флямину... Свейского королевства адмералу и болшому воеводѣ морскому. Швед. д., 292. 1575 г. // Куранты2 (1643) ",Названия военных должностей,,"Адмиральский титул был официально принят в России при
Петре I.",
адмираловъ,,,прил.,,,см. адмиралъ,,да,Относящийся к адмиралу.,,"СлРЯ, доп., 9",,,,1646,,"А городокъ Портълантъ отдан таварыщу адмиралову Балтону. Куранты3, 107. 1646 г.",Названия военных должностей,,,"адмиралъ, адмиральный, адмиральский"
адмиральный,,,прил.,,,,,,"То же, что адмиральский. ",,"СлРЯ, доп., 9",,,,1644,,"А из Галанской земли вѣсти есть, что тамъ карабел<ь>нои караван снаряже(н) и на адмирал<ь>номъ караблѣ... [лакуна]. Куранты2, 112. 1644 г.",Названия военных должностей,,,"адмиралъ, адмираловъ, адмиральский"
адмиральский,,admiralski,прил.,,,см. адмиралъ,,да,"Принадлежащий адмиралу, относящийся к адмиралу",,в СлРЯ нет,,Куранты2,,1643,,Куранты2 (1643) ,Названия военных должностей,,,"адмиралъ, адмираловъ, адмиральный"
адъюнктъ,,adiunkt,м.,,,Фасмер и Аникин это слово не дают,,,,,в СлРЯ нет,,,,,,E2 17w.,,,,
азийский,,"azyjski, azjatycki",прил.,,,??? Аникин,,да,азиатский (?),,в СлРЯ нет,,,,XVII в. ,,"Камень азийский. Змеев (НЕ ЗАШИФРОВАН), СТР.",,,,
академикъ,,akademik,м.,,,"через польск. akademik, из лат. academicus (Фасмер)",,да,,,в СлРЯ нет,,,,,,IL(69) 17/18 w.; ,,,,
академия,,akademia,ж.,акадимия,,"через польск. Akademia ‛школа
Платона, высшее учебное заведение, академия’,
akademija XVI в., совр. akademia ‛академия’, ‛торжественное заседание’
< лат. Acadēmia ‛роща близ Афин, посвященная Академу
(Acadēmus — Академ, аттический герой), где учил Платон’ <
греч.  Ἀκαδημία. (Аникин, 1 , 124).",,да,"ученое общество, ученое и учебное заведение.",,"СлРЯ, 1, 25",,XIII в.,1637 г. ,XIV–XV вв.,XIII в.,"Нѣкто безумныи уноша въ акадимии прящеться о д ҃шѣ. Пч., 360. XIV–XV вв. ~ XIII в. || Королева Елисава… поставила академию, сиречь училище всяких розных грамотных учений. «Космография» Лыкова 1637 (Глускина). Словарь: CZE 1637 В ПЧЕЛЕ ГРЕЦИЗМ",Лексика сферы культуры,"вариант 'акадимия' из греческого.  Пóзднее заимств. из
польск. вытеснило более раннее из греч. (Аникин, 1, 125).",,
аккордъ,,akord,м.,,,Аникин: НЕ ПОЛОНИЗМ,,,,,,,,,,,IL(67) 17/18 w.,,,,
акуратно,,akuratny,нареч.,акуратно,,"Адъектив аккуратный
из лат. лат. accūrātus
‛старательно исполненный, тщательный, точный’ через польск. или нем. (возможно, и через укр., блр. <
польск.). (Аникин, 1, 125).",,да,,,"в СлРЯ нет, MOS",,,,1694,,"Хотя Тимофей и подавалъ заручныя челобитныя акуратно разъ въ три мѣсяца. Шумаков. Акты офиц., 83, 1694 г. Словарь: MOS 1694",,"Совр. рус. аккуратно с удвоенным к, по-видимому, вторичное заимствование напрямую из немецкого, ср. рецензию на первое издание В. Витковского [J. Karzarnowicz 2002].",,
аксамитъ,,aksamit,м.,оксамитъ,,Аникин не подтверждает польскую этимологию,,,,,"Срз.; СлРЯ, 1, 26",,,,1659,,Срз. 1659,Названия тканей,,,
аксамитный,,aksamitny,прил.,,,см. аксамит,,,,,"Срз.; СлРЯ, 1, 26",,,,1681,,Срз. 1681,,,,
актъ,,akt,м.,,,"Рус. акт в знач. ‛документ’ усвоено (XVI в.) из польск. akt ‛то же’ (1501) < лат. āctum, обычно ācta мн. ‛деяния, протоколы и др.’ от ago ‛веду, гоню, действую’. Допустимо укр. и блр. посредство. В знач. ‛деяние, дело’ — в Петровскую эпоху из польск. akt ‛поступок, дело, действие’ (XVI в.) < лат. actus ‛деятельность, действие’ (в польск., возможно, через франц. acte). Из польск. akt, по всей вероятности, происходит и рус. аº в знач. ‘пьеса’ (возможно, уже в XVII в.), пришедшее через Юго-Западную Русь (Аникин,1, 133-134).",,да ,(???),,в СлРЯ нет,,Назиратель,,XVI в.,,"Части же [дерева], которые суть въ акту, сиирѣчь совершенно здѣланые... имѣютъ... сугубою разность. Назиратель, 208. XVI в.",Абстрактная лексика,,,
алебардъ,,(h)alabarda,м.,олебардъ,,"Большинство рус. форм объяснимы из польск. < ср.-в.-
нем.  helmbarte
‛алебарда’ (нем. Hellebarde, Hellebarte). Гласный е во втором слоге
рус. м. б. обусловлен передачей польск. l > рус. л’ и субституцией
а > е в неударной позиции (Gard. 1965: 81). С учетом ранних
фиксаций слова в укр. (< польск.) для рус. следует считаться с укр. посредством.",нет,да,"Оружие в виде насаженного на древко фигурного топорика, бердыш.",,"СлРЯ, 1, 27",,Учен.ратн.строения,,1647 г.,,"А будетъ онъ [сержант] идетъ протянутыми шеренгами, и онъ несетъ алебардъ свой на правом плечѣ. Учен. ратн. строения, 223. 1647 г. || S 1567; FG1 1615",Оружие,,,
алебардъ ,,,,,алибарда,"Большинство рус. форм объяснимы из польск. < ср.-в.- нем. helmbarte ‛алебарда’ (нем. Hellebarde, Hellebarte). Гласный е во втором слоге рус. м. б. обусловлен передачей польск. l > рус. л’ и субституцией а > е в неударной позиции (Gard. 1965: 81). С учетом ранних фиксаций слова в укр. (< польск.) для рус. следует считаться с укр. посредством.",,да,"Оружие в виде насаженного на древко фигурного топорика, бердыш.",,"СлРЯ, 1, 27",,,ДАИ X,1682 г.,,"Въ козенныхъ погребахъ... 7 алибардъ. ДАИ X, 98. 1682 г.",Оружие,,,
алебардникъ,,(h)alabardnik,м.,олабердникъ,,см. алебардъ,,да,"Воин, вооруженный алебардой.",,"СлРЯ, 1, 27",,Учен.ратн.строения,,1647,,"Когда имѣешь роту салдатовъ трехъсотъ человѣкъ, а в том числѣ... 20 человѣкъ алебардниковъ. Учен. ратн. строения, 82 об. 1647 г. || FG1 1615",Военная лексика,,,
алебардный,,(h)alabardny,прил.,,,см. алебардъ,,да,Относящийся к алебарде.,,"СлРЯ, 1, 28",,Учен.ратн.строения,,1647,,"И возметъ [сержант] алебардъ правою рукою... и переднии перстъ на алебардѣ предъ собою простерто лежа, что конецъ передняго перста лежалъ на алебардномъ концѣ. Учен. ратн. строения, 223. 1647 г.",Военная лексика,,,
алебардщикъ,,,прил.,,,см. алебарда,,да ,"То же, что алебардникъ.",,"СлРЯ, 1, 28",,Учен.ратн.строения,,1647 г.,,"А досталнымъ салдатомъ всѣмъ мушкѣтеромъ быти, а не алебардщикомъ. Учен.ратн.строения, 120. 1647 г.",Военная лексика,,,
алебастръ,,alabaster,м.,"алябастр, алабастръ, олбастръ",,"через польск. alabastr, alabaster,
нем. Alabaster < лат. alabastrum, alabaster ‛грушевидный пузырек
для духов или притираний’ < греч. (Аникин, 1, 156).",,да,Алебастр.,,"СлЛЯ, 1, 28",,,ДТП I,1679,,"Чертежи греческой церкви, морю Архангелскому, гдѣ ламаютъ камень алабастръ. ДТП I,  861. 1679 г. || алябастр Основ.Царьгр.(12)",Названия материалов,"Формы с -в- из греч.
 — предположительно
из др.-егип. *‛a la baste ‛сосуд богини Эбасте’. Для рус. и укр. возможно посредство ст.-слав.
алавастръ ‛алебастр, алебастровый сосуд’. (Аникин, 1, 156).",,
алебастровый,,alabastrowy,прил.,"альбастровый, олебастровый",,см. алебастръ,,да ,Сделанный из алебастра.,,"СлРЯ, 1, 28",,,"Заб.Дом.быт., I",1678,,"По тои гулфарбѣ позолотилъ къ олебастровому столу рамы деревянные столярские. Заб. Дом. быт, I, 691. 1678 г.",Названия материалов,,,
алембикъ,,alembik,м.,алимъбикъ,,"Из польск. alembik, ст.-польск. alembik, alambik, olembik, olimbik < франц. alambic ‛перегонный куб’ <
араб. al-’anbîq ‛кубок’ < греч. ἄμβιξ (Аникин, 1, 158). ",нет,да,Прибор для перегонки жидкостей.,,"СлРЯ, 1, 28",,Травник Любч.,,XVII в.,1534,И потомъ-то вино процѣди сквозѣ платъ и выжми и перепусти алимъбикомъ пятья. Травник Любч. 403. XVII в. ~1534 г.,Названия химических приборов,"Вариант алим(ъ)бик(ъ), возможно, находится в сепаратной
связи с итал. (< араб.) limbicco = lambicco ‛перегонный
куб’. (Аникин, 1, 157).",,
алкантъ,,"alkant, alakant",м.,"алакант, алкан, алкат",алаканта,у Фасмера и Аникина нет,,да,Название вина (по местности в Испании).,,"СлРЯ, 1, 28",,,,1546,,"Вино алаканта. Сл.Шрове, 80, 1546 г. Вино алкант. Аноним. разг., 47, 1568 г. (по словарю [Мжельская 2004])",Названия напитков,,,
алкирмесъ,,alkiermes,м.,,,ср. польск. alkiermes от араб. al-kirmiz,,да,"Кошениль (здесь -- красящее вещество -- кармин, имеющееся в теле самки насекомого).",,"СлРЯ, доп., 11",,Основ.Царьгр.,,XVII в. ,,"Тотъ убо сокъ собою густъ, аки алкирмесъ (alkiermesu). Основ.Царьгр., 44 об. XVII в. ",Названия красок и веществ для их изготовления,,,
аллегоричный,,alegoryczny,прил.,,,через польск. из ??? греч. СМ. ЭТИМОЛОГИЧЕСКИЙ СЛОВАРЬ ПОЛЬСКОГО ЯЗЫКА,,да,,,,,,,,,ЦИТАТА L 17 w.,Лексика сферы культуры,,,
[алхимивъ] (алхемивъ),,,прил.,,,см. алхимия,,да,Алхимический.,,"СлРЯ, доп., 12",,,,XVII в.,1534,"Во алхемивѣ премудрости. Травник Любч., 666. XVII в. ~ 1534 г.",Химическая терминология,,,
алхимийский,,alchimijski,прил.,,,см. алхимия,,да,Относящийся к алхимии (в знач.1).,,"СлРЯ, 1, 32",,,Мат.медиц.,1648,,"А алхимискому ученью учился онъ пять лѣтъ, и тому навыченъ, и будетъ ево на столько съ такова дѣла, со всего дѣлати духи, маслы, ...и что алхимисту знати и дѣлать доведетца. Мат. медиц., 615. 1648 г.",Химическая терминология,,,
алхимикъ,,"alchimik, alchemik",м.,,,см. алхимия,,да,,,,,,,,,K2 1644,Химическая терминология,,,
алхимистъ,,"alchimista, alchemik",м.,,,"ВНИМАНИЕ: алхимист - через нем. (Alchimist), а не польск. посредство (alchimista). (Аникин, 1, 173).",,да,,,"СлРЯ, 1, 32",,,,1683,,"Велѣно дохтуромъ, обтекаремъ, алхимистомъ и лекаремъ... пива варить безъявочно и безпошлинно и держать про себя, а не на продажу. ДАИ X, 180. 1683 г. // L 16 w.",Химическая терминология,,,
алхимия,,alchimija (alchemia?) (помещение при аптеке),ж.,альхимия,,"из ср.-лат.  при возможном посредстве ст.-польск.
alchymi(j)a, ср.-лат. alchimia (alchemia) < исп.
alquimia < араб. al-kīmiā’ ‘философский камень; алхимия’ = артикль
al + заимств. из греч. χυμεία 'смешивание жидкостей' (Аникин, 1, 173).",,да,"1. Средневековое учение, предшествующее научной химии. 2. Помещение при аптеке для приготовления лекарств.",,"СлРЯ, 1, 32",,"Основ.Царьгр., Браун.артил.",,XVII в.,,"[Дрова] носятъ в поварни, в пекарни, в оптеку, в алхимию. Основ. Царьгр., 27. XVII в. ",Химическая терминология,"алхимист - через нем. (Alchimist), а не польск. посредство (alchimista). (Аникин, 1, 173).","В 1709 г. пояляется перевод книги Э. Брауна из Данцига (Braun Ernst. Novissium fundamentum et praxis artilleriae, Danzig 1682), в котором также фиксируется употребление слова ""алхимия"": Обрѣтение пороха и пищалеи нѣкоторому ученому и во алхимии зѣло искусному монаху немецкого народа, имянемъ Бартолду Шварцу причитаютъ. Браун. Артил., 89. 1709 г. ~ 1682 г. ",
альбо,,albo У ВИТКОВСКОГО НЕТ,союз,,," Из польск. albo, ст.-польск. alibo(ż). Рус. ал(ь)бо ‛или’ в текстах XVIII в. (в СлРЯ XVIII 1: 54 с пометой
«юго-зап.») и смол. альбо ‛или, хотя’ м. б. полонизмами или находиться с польск. словом (также
укр., блр.) в ареальной связи. (Аникин, 1, 160).",нет,нет,"или, или же.",,"СлРЯ, 1, 33.",,,"Польск.д. III, АИ II.",1563,,"А будетъ на рубежи у четвергъ, ал<ь>бо въ пятницу рано, и ты бъ противъ его послалъ стрѣчу. Польск.д. III, 175. 1563 г.",Cлужебные слова,"слово отсуствует в литературном языке, но широко представлено в говорах.",,
альтъ,,alt,м.,,,"Из нем. Alt или польск. (< нем.) alt, далее из итал. alto (лат. altus ‛высокий’) в знач. ‛низкий женский голос’ < ‛высокий мужской голос’ (Аникин, 1, 181).",,да,Альт (голос).,,"СлРЯ, 1, 33",,,Мат. арх. сл. I,1679,,"Алтъ, иже есть латински алтусъ, славенски же высокий, ибо онъ вся гласы, когда нѣсть дисканта,...гласомъ своимъ превосходитъ. (Идея грам. мус. Дилецкого) Мат. арх. сл. I, 22. 1679 г.",Лексика сферы культуры," рус. альт II ‛вид духового инструмента’
происходит из итал. alto как назв. муз. инструмента (viola alta), также через
франц. alto (violon alto) (Аникин, 1, 181).","Термин впервые употребляется в сочинениях Николая Дилецкого, музыканта-теоретика украинского происхождения, обучавшегося в Западной Руси (в Вильне). Впервые музыкальный трактат был написан им на польском языке, а впоследствии переведен на церковнославянский. Польский оригинал не сохранился.",
алтабаский,,???,прил.,олтабаский,,см. алтабас,,да,Сделанный из алтабаса.,,"СлРЯ, 1, 31",,,Росп.им.Н.Ром.,1657,,"2 покровца олтабаские золотные. Росп.им.Н.Ром., 56. 1657 г.",Названия тканей,,,
алтабасный,,altembasny,прил.,"алтабачный, олтабачный",,см. алтабас,,да,Сделанный из алтабаса.,,"СлРЯ, 1, 31",,,Выходы цар.,1676,,"Зипун, тафта бѣла, обнизь алтабасная золотная. Выходы цар., 622. 1676 г. ЦИТАТА K1 1605",Названия тканей,,,
альтенбас УТОЧНИТЬ ЗАГОЛОВ ФОРМУ,,altembas,м.,"алтабас, олтабас",,"Через польск. ałtambas
1496 (также altembas, ałtembas) ‛шелковая материя с золотыми и серебряными нитями’ < ст.-тур. *altynbaz = altynbäz < altyn ‛золото’
+ араб. bazz (bezz) ‛холст, полотнище’. Возможно, также украинское посредство. (Аникин, 1, 169).",,да,Персидская парча.,,"СлРЯ, 1, 31",,,Арс.Сух.Проскинитарий,1653,,"ЦИТАТА Рус.-нем. словарь1. Столб.Арх.Оруж.пал. 1614 г. Вершокъ алтабасу серебряннаго на бѣломъ шелку. АРс.Сух.Проскинитарий, 120. 1653 г.",,"С начала XVIII века название «алтабас» вытеснено словом «парча». Причина - указы Петра I о запрете ношения костюмов, указывающих на сословный статус."," Использовалась в Византии как элемент украшения парадного костюма. Одежду, сшитую целиком из алтабаса, носил только император и высшая знать. В XVI—XVII вв. алтабас завозился на Русь с востока для нужд двора и церкви и использовался для пошива парадных одежд. 
Петр I запретил ношение одежды из алтабаса, указывающей на сословный статус.",
альтернатива,,alternatywa,ж.,,,"Из польск. alternatywa «альтернатива», которое усвоено из
франц. яз., где alternative — тж возникло морфолого-синтаксическим
путем на базе прил., являющегося суффиксальным
производным от alterner «чередоваться», восходящего к лат. alternare (от alternus
«один за другим»). (Шанский, 86).",,да,,,в СлРЯ нет,,,Журн.Петра I,1698,,"ЦИТАТА Журн.Петра I, II, 550. 1698 г. ПРОВЕРИТЬ ДАТУ II - ЭТО УЖЕ НЕ 1698 Г!!!",Абстрактная лексика,,,
альтистый,,???,прил.,,,см. альт,,да,"Обладающий альтом, поющий альтом.",,"СлРЯ, 1, 33",,,,,,,Лексика сферы культуры,,,
альтовый,,altowy,прил.,,,см. альт,,да,,,в СлРЯ нет,,,,,,ЦИТАТА L 1679,Лексика сферы культуры,,,
амазонка,,amazonka,ж.,,,"заимствовано из нем. Amazone или франц. amazone
(< лат. < греч.), — возможно, через посредство польск. amazonka (Аникин, 1, 190",,да,,,в СлРЯ нет,,,,,,ЦИТАТА,Названия мифических существ ??,,,
амбра,,ambra,ж.,,,"
из араб. ‛anbar через ср.-лат. ambra, франц. ambre при дальнейшем посредстве нем. Ambra и (ст.-)польск.
ambra < ср.-лат. (Аникин, 1, 195).",,да,"Смолистое вещество, употребляемое как лекарство.",,"СлРЯ, 1, 35",,,ДАИ VI,1673,,"Въ костяныхъ сосудахъ: гвоздичного сосудъ, коричного сосудъ... свороборинного съ амброю стопка... Въ другой коробьѣ въ сулеяхъ. ...2 сулеи водки коричной съ амброю жъ да безъ амбры. ДАИ VI, 324. 1673 г.",Названия различных веществ и химических соединений,,"Амбра образуется в пищеварительном тракте кашалотов. Используется в парфюмерии, в традиционной медицине и в гомеопатии. В Средние века амбра считалась целительной и входила в число изысканных дипломатических подарков. Главными торговцами серой амброй были арабы.",
аметистъ,,ametyst,м.,аматистъ,,"Изгреч. ἀμέθυστος см. аметоусонъ), заимствованное в лат. amethystus, далее через посредство
(или под влиянием) (ст.-)польск. ametyst XVI в., нем. Amethyst,
франц. améthyste. Через лат.
(польско-латинское?) посредство прошло рус.-
цслав. аметистъ XII—XIII вв. (СлРЯ XI—XVII 1: 35), кот. известно
только по
сп. XVII в., отражающему усиливавшееся влияние зап. традиции
в произношении греч. слов: формы с т вследствие посредства или
влияния лат. amethystus (< греч.). Аметист,
как и аматистъ, могло попасть в
рус. также через ст.-укр. аметистъ, аматистъ XVII в., ст.-блр.
аметистъ нач. XVI в. (Аникин, 1, 198).",,да,Аместист.,,"СлРЯ, 1, 35",,,,XII–XIII вв.,,"Основание стѣнъ града всячемь драгымь камениемь украшенъ... Аметистъ же... яко б ҃ия огня образъ и раздѣления языкъ огньныхъ приятъ. Апокал., 100–101 об. XII–XIII вв. Аматистъ есть камень цвѣтомъ вишневъ, а родится в Индии; сила того камени есть: пьянство отгоняти, мысли лихия отдаляти, добрый разумъ дѣлаетъ и во всякихъ дѣлѣхъ помочь даетъ. Кн. прохладный вертоград, 155. 1672 г. ",Названия драгоценных камней,"ср. также грецизмы амѣфустонъ, амфусии","Греч. ἀμέθυστος ‛не пьяный’, ‛средство против опьянения’, сложение ἀ  ‛не’ и произв. от μέθυ ‛вино’. Аметист мог получить свое
назв. из-за его лилово-фиолетового цвета, напоминающего разбавленное
водой красное вино, от кот. нельзя опьянеть; отсюда,
возможно, его статус амулета от пьянства. (Аникин, 1, 198).",амѣфустонъ
амитистовъ,,ametystowy,прил.,,,см. аместист,,да,"Аместистов камень -- то же, что аметист. ",,"СлРЯ, 1, 35",,Травник Любч.,,XVII в.,1534,"Мистръ глаголетъ, что тот амитистов камень, которыи привозятъ из ындѣиских стран дражаиши есть всѣх камении, которые сут<ь> цвѣтомъ багряны. Травник Любч., 657. XVII в. ~ 1534 г.",Названия драгоценных камней,,см. аместист,
амидамъ,,amidam,м.,,,"нет у Аникина, Шанского, Фасмера",,,крахмал,,нет в СлРЯ,,,,,,ЦИТАТА L 17 w.,Названия различных веществ и химических соединений,,,
