А,источник деривации,лемма греч.,часть речи ,фонетическая вариативность для русского языка 11-17 вв.,морфологическая вариативность для русского языка 11-17 вв.,этимология,гапакс,язык-посредник,семантика,толкование Фасмера,фиксация в исторических словарях русского языка,фиксация в словарях славянских языков,переводные источники,оригинальные источники,дата списка,дата появления источника,цитата первой и ранней фиксации,тематическая группа,дополнительная филологическая информация,дополнительная историко-культурная информация, связывающие отсылки,,
авдономъ,,αὐτονόμος,м.,,,,,,"повелитель, самодержец",,"Срз. I, 5; СлРЯ (доп.), 8",,,"Х.Афан.Никит., 27. XV-XVI вв. ~ 1472 г.", ΧV - ΧVΙΙ вв.,1472 г.,"А с ындѣйскым авдономомъ вышло рати своей 40 тысяч конных людей. Х.Афан.Никит., 27. XV—XVI вв.~1472 г.",государство. должности и титулы,,,автономъ,,
автономъ,,αὐτονόμος,м.,,,,,,"повелитель, самодержец",autonomus,"ФГcэ, III, 25",,,,,,,государство. должности и титулы,,,,,
автургия,,αὐτουργία,ж.,,,,да,,"церковное имущество, принадлежащее епископии",,"СлРЯ (доп.), 8",,,"Васс.Патр.1, 417.",,1518 г.,"Аще кто епископ обращятся или игумен от автургии, сиречь от самоплодных стяжаний, епископиа или монастыря отдасть или продасть... да будет отметно сие отдаание по правилу святых апостол, глаголющему: всех церковных вещей епископ да имать попечение и да управляеть тая, аки богу видящу (ср. 2 Ник., 12: ἐκ τῶν αὐτουργιῶν τοῦ ἐπισκοπείου). Васс.Патр.1, 417. 1518 г.",религия. богослужение,,,,,
авъ,,Ἄβ,м.,,,от др.-евр. Av,,,"Название древнееврейского месяца, примерно соответствующего июлю–августу.",,"СДРЯ, I, 72",,"Изб.Св. 1073 г.3, 1157 (л. 251).",,1073 г.,,"М҃сци по иyдѣемъ... .е҃. авъ (Ἄβ). Изб.Св. 1073 г.3, 1157 (л. 251).",календарь. месяцы,,,,,
агари,,ἀγαρηνοί,мн.,,агаряне,от евр. имени Агарь hāgār,да,да,"мусульмане; татары, турки и др., вообще о неправославных; первоначально о потомках Измаила, сына египтянки Агари, по библейскому преданию, служанки Авраама.",,"СлРЯ (доп.), 8",,,"Турц., 1. Ок. 1675 г.",,Ок. 1675 г.,"О всей той Турской землѣ ясна изъявляю.. и грады ихъ какъ завутся, и крѣпости ихъ какъ есть... а война бою брани ихъ всѣхъ людей неученая есть безбожныхъ агарей злыхъ и нечестивыхъ грѣшниковъ. Турц., 1. Ок. 1675 г.",религия. последователи какой-л. религии,,,агаряне,,
агаринородный,агари,,прил.,,,,да,,происходящий от агарян,,"СлРЯ (доп.), 9",,,"М.Гр. III, 195. XVI-XVII вв. ~ XVI в.", ΧVΙ - ΧVΙΙ вв.,ΧVΙ в.,"Того [юноши] любовию зѣло ята бысть дщи господина его... оному же отвращающуся бѣсныя любви ея, аки агаринородныя. М.Гр.III, 195. XVI—XVII вв.~XVI в.",религия. последователи какой-л. религии,,,,,
агаряне,,ἀγαρηνοί,мн.,,агари,от евр. имени Агарь hāgār,,да,"мусульмане; татары, турки и др., вообще о неправославных; первоначально о потомках Измаила, сына египтянки Агари, по библейскому преданию, служанки Авраама.",,"СлРЯ, 1, 20; СлРЯ (доп.), 9",,"Мин.сент., 05. Ок. 1095 г.","Х.Игн.См., 31. XVI-XVII вв. ~ 1405 г.",ок. 1095 г.,,"И нынѣ кости расыпли злочьстивыихъ и невѣрьныхъ агарянъ (Ἀγαρηνῶν). Мин.сент., 05. Ок. 1095 г. Не мнозѣм же д҃немъ минувшимъ, внезапу нападоша на ны множьство агарянъ, умръшю князу ихъ (Σαρακηνῶν). Пов.Ам., 2. XV в.",религия. последователи какой-л. религии,,,агари,,
аггелоподобный,аггелъ,,прил.,ангелоподобный,,,,,"подобный ангелу, святому; подобающий святым отцам, отцам церкви, монахам ",,"СлРЯ, 1, 38",,,"Кн.Степ., 310. XVI-XVII вв. ~1560 гг.",,,"И возжела облещися во иноческий образъ аггелоподобнаго чина, яко да во смирении и въ покаянии жития своего конець достигнетъ. Кн. Степ., 310. XVI – XVII вв.~1560 г.",религия. богословие,,,ангелоподобный,,
аггелъ,,ἄγγελος,м.,ангелъ,,,,,"1. ангел. 2. святой, в честь которого давалось имя при крещении, при пострижении в монахи.",,"СлРЯ, 1, 20; СлРЯ, 1, 37",,,"Сим.Послов., 74. XVII в.",,XVII в.,"Аг҃гли з н҃ба что не просятъ хлѣба. Сим. Послов., 74. XVII в.",религия. богословие,,,ангелъ,,
агемонъ,,ἡγεμών,м.,"гемонъ, егемонъ, игемонъ",,,да,,"начальник, представитель императорской власти",,"СлРЯ (доп.), 9; СДРЯ, I, 72",,"Пч., 96. XV в.~ XIII в.",,XV в.,XIII в.,"Покоритеся всякои твари чл҃вчьстѣи Га҃ ради, цс҃рви яко владущу, агѣмономъ, яко послани суть на месть злодѣемъ, а на похвалу доброд҃емъ (ἡγεμόσι). Пч., 96. XV в.~ XIII в.",государство. должности и титулы,,,"гемонъ, егемонъ, игемонъ",,
агиасма,,ἁγίασμα,ж.,,,,,,Святая вода,aqua benedicta,"ФГcэ, III, 25; Срз. I, 5; СлРЯ, 1, 21","Грц.макед., 59","? Чин. осв.плод. по сп. ΧVΙ в. (Срз. I, 5)","Арс.Сух.Проскинитарий, 199. 1653 г.",,ΧVΙ в.,"Окропиши агиасмою. Чин. осв.плод. по сп. ΧVΙ в. (Срз. I, 5)",религия. богослужение,,,,,
агиографъ,,ἁγιόγραφος,м.,,,,да,,"тот, кто описывает жития святых, создает книги духовного содержания ",,не зафиксировано,,"(Предисл. Иеронима к Кн. Юдифь) Библ.Генн. 1499 г., 330 об.",,,1499 г.,"агиѡграфъ: ѡт агиѡс иже ес сто и графе иже ес писанïе (Предисл. Иеронима к Кн. Юдифь) Библ.Генн. 1499 г., 330 об.",,,,,,
агиосъ,,ἅγιος,м.,,,,,,"""Святой""",,"СДРЯ, I, 72",,,"Надп XII (25) (СДРЯ, I, 72)",,XII в.,"Агиос Георьгиос. Надп  XII (25) (СДРЯ, I, 72)",религия. богословие,,,,,
агия,,ἅγια,ж.,,,,,,"""Святая""",,"СДРЯ, I, 72",,,"Надп. 1161 (СДРЯ, I, 72)",,1161 г.,"И агиа София. Надп. 1161 (СДРЯ, I, 72)",религия. богословие,,,,,
агкура,,ἄγκυρα,ж.,"анкира, анкура",,,,,якорь,,"СлРЯ, 1, 21, 39",,"Диоптра Фил.1, л. 218 об. XV в.",,,,"Агкуры (ἀγκύρα). Диоптра Фил.1, л. 218 об. XV в.. ",морское дело,,,анкира,,
агностянинъ,,ἀναγνώστης,м.,,анагностъ,,да,,церковный чтец,,"СДРЯ, I, 73",,"СбСоф к. ΧΙV, 13а-б (СДРЯ, I, 73)",,ΧΙV в.,,"Никто же васъ не прельстить ... ни от еп(с)пъ ни попъ ...ни наагностянинъ [вм. агностянинъ] ни инъ. СбСоф к. ΧΙV, 13а-б (СДРЯ, I, 73).",религия. богослужение,,,,,
агримония,,ἀγριμόνια,ж.,,,,,,"лекарственное растение (род репейника, Agrimonia)",,"СлРЯ, 1, 21",,,"Леч.(Зм.), 5. XVII-XVIII вв.",,с ΧVΙΙ в.,"Травы: вероника, агримониа. АИ III, 405. 1645 г.",природа. растения и плоды,,,,,
агримониевъ,агримония,,прил.,,,,да,,относящийся к агримонии,,"СлРЯ (доп.), 9",,"Травник Любч., 89. ΧVΙΙ в. ~ 1534 г.",,ΧVΙΙ в.,1534 г.,"О агримониевѣ травѣ пишу, что та трава собою тепла есть и суха. Травник Любч., 89. ΧVΙΙ в. ~ 1534 г.",природа. растения и плоды,в сочетании: агримониева трава,,,,
агрость,,ἀγρός,м.,,,,да,,поместье (?),,"СлРЯ (доп.), 9",,,"Алф.3, 82. XVII в.",,ΧVΙΙ в.,"Агрость нарицаются села с жителями, и винограды, и пашни безлюдныя. Алф.3, 82. XVII в.",экономика. занятия и профессии людей,,,,,
адамане,,ἀδαμιανοί,мн.,,,,,,приверженцы христианской секты адамитов,,"СлРЯ (доп.), 9; СДРЯ, I, 74",,"Ефр.корм., 662.",,XII в.,,"Адамане от нѣкоего Адама жива суща нарицяема ругания паче, нежели истины повелѣние имуть (ἀδαμιανοί). (Епиф.Кипр. о ерес., 52) Ефр.корм., 662.",религия. ереси и секты,,"христианская секта, также называемая адамиты. Проповедует возврат к святости и невинности Адама и Евы в раю.",,,
адамантистый,адамантъ,,прил.,,,,,,подобный по твердости алмазу (адаманту),,"СДРЯ, I, 74;СлРЯ (доп.), 9",,"Хрон.Г.Амарт., 139. XIV вв.~XI в.",,ΧΙV в.,ΧΙ в.,"И камени акротомы неотесаны яко адамантисти и превеликы зѣло въ основание положи (λίθος... ἀδαμαντίνος). Хрон.Г.Амарт., 139. XIV вв.~XI в.",природа. драгоценные камни,,,,,
адаманитский,адамантъ,,прил.,,,,,,относящийся к адаманту (алмазу),,"СлРЯ, 1, 21",,ΧV в.,,,ΧV в.,"Окамени адаманитьстѣмъ. Физ., 333. ",природа. драгоценные камни,в сочетании: адаманитский камень,,,,
адаманитъ,,"ἀδάμας, pl.ἀδάμαντες",м.,,,,,,алмаз,,"СлРЯ, 1, 21",,"Физ., 333.","Климент Смолят., 188. XV в. ~ XII в.",XV в.,XII в.,"Ту абие въсияше адаманитъ сыи. Климент Смолят., 188.",природа. драгоценные камни,"Эта цитата встречается в Изб.Св.1073 г., л. 151 об.",,адамантъ,,
адамантинъ,адамантъ,,прил.,,,,,,относящийся к адаманту (алмазу).,,"СДРЯ, I, 74",,"Кн. 12 прор. (Упырь), 58. ΧV в. ~1047 г.",,ΧV в.,1047 г.,"И се мужъ стоя на градѣ адамантини и въ руцѣ его адамасъ. Кн. 12 прор. (Упырь), 58. ΧV в. ~1047 г. ",природа. драгоценные камни,,,,,
адамантистъ,,ἀδαμάντινος,м.,,,в греч. прил. ἀδαμάντινος,,,алмаз,,"СДРЯ, I, 74",,"ГА XIII – XIV, 27 в. (СДРЯ I, 74)",,XIII – XIV вв.,ΧΙ в.,"и камени акротомы неотесаны яко адамантисти и превеликы зѣло въ основание положи, имуща локотъ ‧θ҃‧ въ долготу и въ толъстоту. ГА XIII – XIV, 27 в. (СДРЯ I, 74)",природа. драгоценные камни,,,,,
адамантовый,адамантъ,,прил.,,,,,,относящийся к адаманту (алмазу).,,"Срз. I, 6 (адамантовъ); СлРЯ, 1, 22",,"Александрия, 95. ΧVΙΙ в. ~ ΧΙΙ в.",,ΧVΙΙ в.,ΧΙΙ в.,"Вда ему Кандикии ж<е> дары цр҃ьскыя, вѣнецъ адамантовъ многоцѣненъ. Александрия, 95. ΧVΙΙ в. ~ ΧΙΙ в.",природа. драгоценные камни,,,адамантский,,
адамантский,адамантъ,,прил.,,,,,,"относящийся к адаманту (алмазу), подобный по твердости алмазу (адаманту).",,"СлРЯ, 1, 22",,,"Царств.кн., 412 1536 г.",ΧVΙ в.,1536 г.,"(1534:) Адамантьская его царева душа [в.кн.Василия Ивановича]. Царств.кн., 412. 1536 г. ",природа. драгоценные камни,,,адамантовый,,
адамантъ,,"ἀδάμας, pl.ἀδάμαντες",м.,,адамасъ,,,,алмаз,adamas,"ФГcэ, III, 26; Срз. I, 6; СлРЯ, 1, 21-22; СДРЯ, I, 74","Грц.макед., 60","Изб.Св. 1073 г., л. 151 об.",,1073 г.,,"Между же дъвѣма змарагдома камыкъ адамантъ (λίθον ἀδάμαντα). Изб.Св. 1073 г., л. 151 об.",природа. драгоценные камни,,,адамасъ,,
адамасъ,,ἀδάμας,м.,,адамантъ,,,,алмаз,,"Срз. I, 6; СлРЯ, 1, 22",,"Изб.Св. 1073 г., л. 151 об.",,1073 г.,,"Ту абие въсияше адамасъ (ὁ ἀδάμας). Изб.Св. 1073 г., л. 151 об.",природа. драгоценные камни,,,адамантъ,,
адамашка,,ἀδάμας,ж.,,,греч. ἀδάμας + ит. damasco,,,"название шелковой ткани, привозимой из Дамаска",serica,"ФГcэ, III, 26; Срз. I, 6; СлРЯ, 1, 22",,,"Заб.Дом. быт, I, 687. 1626 г.",,1626 г.,"Къ государю въ хоромы... камки адамашки мелкотравной лазоревой взялъ крестовой дьякъ Яковъ Дмитреевъ. Заб.Дом.быт.Ι, 687. 1626 г.",быт. ткани,"ФГcэ, III, 26: ""Путем народного осмысления с адамантъ связано слово адамашка sf. serica, бел.-русск. (Носов. 3), в памятниках с ΧVΙ в., что из ит. damasco"".",,,,
адамидъ,,"ἀδάμας, pl.ἀδάμαντες",м.,,,,,,алмаз,,"СлРЯ, 1, 22",,,"Климент Смолят., 188. XV в.; АЮБ I, 556. 1627 г.",,,"Межди же двѣма змарагдома камыкъ адамитъ. Климент Смолят., 188. XV в.~ XII в.",природа. драгоценные камни,,,,,
адамовъ,адамъ,,прил.,,,,,,связанный с именем Адам,,"СлРЯ (доп.), 9",,,"Lud., 99. 1696 г.",,1696 г.,"Adamovoi kost — lignum adamiticum, quod e visceribus terrae in via versus emporium Archangel eruitur. Lud., 99. 1696 г. ",человек,,,,,
адамъ,,Ἀδάμ,м.,,,,,,название книги об Адаме (из числа отреченных) ,nomen proprium,"ФГcэ, III, 26; Срз. I, 6",,,,,,"Сказ. о книг. истин. и ложн. (Срз. I, 6)",религия,,,,,
адельфияне,,Ἀδελφιανοί,мн.,,,,,,"последователи ереси, связанной с именем Адельфия ",,"СДРЯ, II, 486",,"КР 1284, 389г (СДРЯ II, 486)",,1284 г.,,"Маркионити и масалияне. и еутихияне. и о(т) д҃ха просвѣщаемии. и ликовници. и ламбетияне. и аделфияне. и евъстафияне тако нарицаемии. поне же многоименитѣ быти ереси. КР 1284, 389г (СДРЯ II, 486)",религия. ереси и секты,,"христианская монашеская ересь IV-XII вв., также называемая евхитами. Основана Адельфием в Сирии и Малой Азии, отрицала таинства и догмат о Троице. В основе взглядов лежит учение о молитве.",,,
адовный,адъ,τοῦ ᾅδου,прил.,,,,,,"относящийся к аду, преисподней",,"Срз. I, 7; СлРЯ, 1, 22; СДРЯ I, 74

","SJS I, 16; Стболг. I, 9","ПрЛ ΧΙΙΙ, 7 г",,ΧΙΙΙ в.,,"ПрЛ ΧΙΙΙ, 7 г (СДРЯ I, 74); Дн҃сь Адаму прадѣду внука и гс҃жа рожьшися узы адовныя раздрушаеть. Пролог (Ф.), 2. XIII в.","религия, богословие",,,,,
адовский,адъ,τοῦ ᾅδου,прил.,,,,,,"относящийся к аду, преисподней",,"СДРЯ I, 74","SJS I, 16; Стболг. I, 9","СбЯр ΧΙΙΙ, 221-221 об. (СДРЯ I, 74)",,ΧΙΙΙ в.,,"СбЯр ΧΙΙΙ, 221-221 об. (СДРЯ I, 74)",религия. богословие,,,,,
адовъ,адъ,τοῦ ᾅδου,прил.,,,,,,"относящийся к аду, преисподней",,"Срз. I, 7; СлРЯ, 1, 22; СДРЯ I, 74

","SJS I, 15-16; Стболг. I, 9","(Мф. XVI, 18) Остр. ев., 281 об.","Ж.Авр.Смол., 22. XVI в. ~ XIII в.; Ав.Ж., 238. 1673 г. (СлРЯ, 1, 22)",1057 г.,,"и врата адова не удолеють еи  (πύλαι ᾅδου). (Мф. XVI, 18) Остр. ев., 281 об.",религия. богословие,,,,,
адонаи,,ἀδωναΐ,нескл.,,,от др.-евр. ’adonaj,,да,господь,,"Срз. I, 7; СлРЯ (доп.), 10","SJS I, 15","Изб. Св. 1073 г.2, 404.",,1073 г.,,"Падохъ ниць и възъпихъ и рѣхъ: ухъ адонаи Г҃и, погубляеши ты п҃рокъ и҃злевъ. Изб. Св. 1073 г.2, 404.",религия. богословие,,,,,
адостный,адъ,,прил.,,,,,,"ядовитый, смертоносный ",,"СлРЯ (доп.), 10",,"Травник Любч., 466 об.",,XVII в.,1534 г.,"(Т)о древо [алсандр или ландрунь] собою есть велми адостно. Аще ч҃лкъ или скотъ листъ его снѢсть, тот не можетъ живъ быти. Травник Любч., 466 об. XVII в.~1534 г.",природа,,,,,
адский,адъ,τοῦ ᾅδου,прил.,адьскыи,,,,,"относящийся к аду, преисподней",,"Срз. I, 7; СлРЯ, 1, 22; СДРЯ I, 75","SJS I, 17; Стболг. I, 10",Мин.Пут.,"КТур ΧΙΙ сп. ΧΙV, 32 (СДРЯ I, 75); Ав.Кн.толк., 552. 1677 г.",XI в.,,"Мин.Пут.; Козм.Инд.; Врагы ж тѣхъ потопи в морѣ: и от глубины адьскыя изведе тѣх. (Прем. Сол. X, 18 – 19) Библ. Генн. 1499 г.","религия, богословие",,,,,
адунеосъ,,αὐδυναῖος,м.,аудуней,аудуней,от лат. decembrius,,,название греческого месяца,,"Срз. I, 7",,"Изб.Св. 1073 г., л. 251 об.",,1073 г.,,"Мс҃ци по елиномъ: .а҃ ксанфикъ ... .i҃. адунеос (αὐδυναῖος). Изб.Св. 1073 г., л. 251 об.",календарь. месяцы,,,,,
адъ,,ᾅδης,м.,,,,,,"ад, преисподняя",,"Срз. I, 7; СлРЯ 1, 21; СДРЯ I, 74-75
","SJS I, 16-17; Стболг. I, 9-10; Грц.макед., 60","Остр. ев., 96 об.","ЛЛ 1377, 60 об. и др. (СДРЯ I, 74-75); Ав.Ж., 191. 1673 г.
",1057 г.,,"и сы въ адѣ възведъ же очи свои (ἐν τῷ ᾅδῃ).(Лк. XVI, 22) Остр. ев., 96 об.  ",религия. богословие,,,,,
аерѣйский,аеръ,,прил.,,,,,,относящийся к аеру (небу),,"СДРЯ, I, 76",,"Пал 1406, 16 г. (СДРЯ I, 76)",,1406 г.,,"иоа(н) дамаскинъ исповѣда на(м) ‧з҃‧ планитъ еже пояси аерѣискыи [в поздн. сп. аерьстии]. Пал 1406, 16 г. (СДРЯ I, 76)",религия. богослужение,,,,,
аеринъ,аеръ,,прил.,,,,,,относящийся к аеру (небу),,"СлРЯ, 1, 22-23",,"Флавий. Полон. Иерус. I, 108. XVI в. ~ XI в.",,XVI в.,XI в.,"Духъ бо ес<ть> бож<ь>ств<ь>нный и скоро очютит, яже от бога будет, яко же и бессловесное, а от аерина духа имѣюще, преже ч<е>л<овѣ>къ разумѣюще, яже от аера бываема. Флавий. Полон. Иерус. I, 108. XVI в. ~ XI в.",природа,,,,,
аерное,аеръ,τὸ ἀέριον,прил. в знач.сущ. с.,,,,,,воздушное,,,,"ГА XIII – XIV, 184 в (СДРЯ I, 76)",,XIII – XIV вв.,ΧΙ в.,"видѣ ли, колико на нб҃си различна, яко же на водѣ и на огни многа измѣна. ибо водна ово есть источное, другое морьское, ино же аерное, другое въ облацѣхъ. ГА XIII – XIV, 184 в (СДРЯ I, 76)",природа,,,,,
аерный,аеръ,"ἀέρος, ἀέρων",прил.,,,,,,относящийся к аеру.,,"Срз. I, 8; СлРЯ, 1, 23; СДРЯ, I, 76","SJS I, 17; Стболг. I, 10","(2. Цар. XXII, 12 – 13) Библ. Генн. 1499 г.","Леч. II, 47. XVIII в. ~ XVII в. (СлРЯ, 1, 23)",,1499 г.,"Темна вода въ облацѣхъ аерных. (2. Цар. XXII, 12 – 13) Библ. Генн. 1499 г.",природа,,,,,
аеровъ,аеръ,,прил.,,,,,,относящийся к аеру.,,"СлРЯ (доп.), 10; СДРЯ, I, 75",,"Хрон.Г.Амарт., 68. XIV в.~XI в.",,XIV в.,ΧΙ в.,"Яко бо аерово естьство несловесно есть (τοῦ ἀέρος). Хрон.Г.Амарт., 68. XIV в.~XI в.",природа,,,,,
аеропарный,аеръ,,прил.,,,,да,,,,,,"(Хрон.Манас.) Хроногр. 1512 г., 23. 1538 г.",,1538 г.,1512 г.,"Въскоре произыдоша простокрилнии и аеропарнии птица, имѣаху свободное перо на лѣтаниа борзая (ὄρνεις ἀεροβάται). (Хрон.Манас.) Хроногр. 1512 г., 23. ",природа. животный мир,,,,,
аероплавательный,аеръ,,прил.,,,,,,"плавно передвигающийся, парящий по воздуху (аеру).",,"СлРЯ (доп.), 10",,,"Курб.Ист., 344. XVII в. ~ XVI в.",XVII в.,XVI в.,"Понеже аще въ телеси тлѣнномъ суща, бестелесными и невещественными почтенъ [св. Феодорит] достоинствы и аероплаветельными [так в изд.] хождении. Курб.Ист., 344.",природа,,,,,
аероходивъ,аеръ,ἀεροβάτης,прил.,,,,,,зд. способный воспарять духом ,,"Срз. I, 7 (аероходивыи); СДРЯ, I, 75",,"СбТр XII/XIII, 139 об. (СДРЯ I, 75)",,XII-XIII вв.,,"Съмѣреномудрье высокопарива. и аероходива сътваряеть чл҃вка. СбТр XII/XIII, 139 об. (СДРЯ I, 75)",человек. характеристики людей,,,,,
аероходный ,прил.,ἀεροπόρος, ἀεροβάτης,аеръ,,,,,,носящийся по воздуху ,,"Срз. I, 7; СДРЯ, I, 75",,"ПрЮр XIV, 292б (СДРЯ I, 75)",,XIV в.,,"не подобаеть вѣровати аероходнымъ сно(м). си бо нѣ(с) истина. но мысль блудна. ПрЮр XIV, 292б (СДРЯ I, 75)",природа,,,,
аерский,аеръ, ,прил.,,,,,,относящийся к аеру.,,"Срз. I, 8; СлРЯ, 1, 23; СДРЯ, I, 76",,"Апокал., 100 – 101. XIII в.",,XIII в.,,"Основание стѣнъ града всячемъ драгымь камениемь украшенъ… Акинфъ же Симона Зилота яко аерскыи образъ имущь х ҃вы бл҃гдти. Апокал., 100 – 101. XIII в.",природа,,,,,
аеръ,,ἀήρ,м.,аиръ,,,,,1. воздух, 2. небо, 3. покров для церковных сосудов,aer,"ФГcэ, III, 25; Срз. I, 7-8; СлРЯ, 1, 22; СДРЯ I, 75-76","SJS I, 17; Стболг. I, 10; Грц.макед., 60","Гр.Наз., 156 (Срз. I, 7)","Лавр.лет., 447. 1377 г. (СлРЯ, 1, 22)",ΧΙ в.,,"Гр.Наз., 156 (Срз. I, 7); (1199): [Кыяне] очима си любезно смотрящи отвсюду веселие д ҃ши привлачаще и мняться яко аера достигше. Ипат. Лет., 714.",природа,,аиръ,
аетиане,,Ἀετιανοί,мн.,,,,,,"сторонники одной из ересей  - ответвления арианства, связанной с именем Аетия: Аетиане ",,"СДРЯ, I, 76",,"КЕ XII, 259б (СДРЯ I, 76)",,XII в.,,"Аетиане. иже о(т) аетия. киликиискааго. диякона бывъша. о(т) георгия арияньскааго. еп(с)па александрьскааго. КЕ XII, 259б (СДРЯ I, 76)",религия. ереси и секты,,"христианская ересь, ответвление арианства, связана с именем киликийского диакона Аетия.",,,
азимъ,,ἄζυμος,м.,азумъ,,,да,,опреснок,panis,"ФГcэ, III, 26; Срз. I, 10",,"Быт. ΧΙΧ.3. XV в. (Срз. I, 10)",,XV в.,,Азумы испече имъ. Быт. ΧΙΧ.3. XV в.,религия. богослужение,,,,,
азматикъ,,ᾀσματικός,м.,,,,,,церковное песнопение,cantus eccles.,"ФГcэ, III, 26; Срз. I, 10",,"Кондакарь XI-XII вв.(Срз. I, 10)",,XI-XII вв.,,"Азматикъ. Кондакарь XI-XII вв.(Срз. I, 10)",религия. богослужение,,,,,
